Id,NAME,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,556333.49,391539.22,2253000.00,2280,0,2447,0,1102,0,440,0,36,0.5221407424178673,5376
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,2486562.18,546012.51,7065250.00,8703,0,7010,0,5636,0,2803,0,222,0.7756043381153209,29676
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,3177703.11,1851773.19,18735500.00,26780,0,6848,0,53299,0,6631,0,526,0.7913547487160896,80640
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,922246.16,1124939.60,156422100.00,15866,2666,0,6940,18092,1523,8573,393,335,0.9235391971626752,92760
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,2610473.67,1504077.84,141501600.00,16518,0,6756,0,18448,0,7657,0,302,0.9135686092724477,79248
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,907309.78,867090.00,148929600.00,13758,2558,0,6489,17602,1727,6940,361,298,0.9129439443818909,78972
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,935558.23,735410.00,148552000.00,12973,2134,0,4909,15962,1136,7400,272,302,0.9144775050303227,75060
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,928978.50,648840.00,150364200.00,12220,1806,0,5396,14894,1062,6822,263,282,0.9320587940360403,72228
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,566522.68,253385.00,159361400.00,6348,9055,0,5464,2938,14845,7122,457,303,0.899620582371724,73164
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,0.00,12472345.51,0.00,0,9849,0,4094,0,9295,0,4213,100,1.1544178548437845,38316
